DeviceExample.ino
A simple demonstration of TinyGPS++ with an attached GPS module
Testing TinyGPS++ library v. 1.0.2
by Mikal Hart

Lat(deg),Lng(deg),HDOP,Date,Time,Speed(km/h),Course(deg)
-33.957683,18.463182,100,1/17/2019,10:44:02.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:02.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:03.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:03.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:04.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:04.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:05.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:05.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:06.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:06.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:07.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:07.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:08.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:08.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:09.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:09.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:10.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:10.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:11.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:11.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:12.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:12.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:13.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:13.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:14.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:14.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:15.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:15.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:16.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:16.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:17.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:17.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:18.00,0.00,0.00
